date,url,text
3/25/17,http://m.nationals.mlb.com/player/600474/pedro-severino,Washington Nationals optioned CPedro Severinoto Syracuse Chiefs.
3/25/17,http://m.nationals.mlb.com/player/514669/rafael-martin,Washington Nationals optioned RHPRafael Martinto Syracuse Chiefs.
3/27/17,http://m.nationals.mlb.com/player/656899/mariano-rivera,RHPMariano Riveraassigned to Washington Nationals.
3/28/17,http://m.nationals.mlb.com/player/607341/khayyan-norfork,IFKhayyan Norforkassigned to Washington Nationals.
3/29/17,http://m.nationals.mlb.com/player/607301/nick-rickles,CNick Ricklesassigned to Washington Nationals.
3/29/17,http://m.nationals.mlb.com/player/592147/mark-blackmar,RHPMark Blackmarassigned to Washington Nationals.
3/29/17,http://m.nationals.mlb.com/player/605464/derek-self,RHPDerek Selfassigned to Washington Nationals.
3/29/17,http://m.nationals.mlb.com/player/595918/aj-cole,Washington Nationals optionedA.J. Coleto Syracuse Chiefs.
3/29/17,http://m.nationals.mlb.com/player/641627/trevor-gott,Washington Nationals optionedTrevor Gottto Syracuse Chiefs.
3/31/17,http://m.nationals.mlb.com/player/519208/clint-robinson,Washington Nationals sentClint Robinsonoutright to Syracuse Chiefs.
2/7/17,http://m.nationals.mlb.com/player/544836/enny-romero,Tampa Bay Rays traded LHPEnny Romeroto Washington Nationals for RHP Jeffrey Rosa.
2/7/17,http://m.nationals.mlb.com/player/642587/jeffrey-rosa,Tampa Bay Rays traded LHP Enny Romero to Washington Nationals for RHPJeffrey Rosa.
2/11/17,http://m.nationals.mlb.com/player/593833/wander-suero,Washington Nationals invited non-roster RHPWander Sueroto spring training.
2/11/17,http://m.nationals.mlb.com/player/592398/taylor-hill,Washington Nationals invited non-roster RHPTaylor Hillto spring training.
2/11/17,http://m.nationals.mlb.com/player/595297/nick-lee,Washington Nationals invited non-roster LHPNick Leeto spring training.
2/11/17,http://m.nationals.mlb.com/player/519304/neftali-soto,Washington Nationals invited non-roster 1BNeftali Sototo spring training.
2/11/17,http://m.nationals.mlb.com/player/607200/erick-fedde,Washington Nationals invited non-roster RHPErick Feddeto spring training.
2/11/17,http://m.nationals.mlb.com/player/608380/drew-ward,Washington Nationals invited non-roster 3BDrew Wardto spring training.
2/11/17,http://m.nationals.mlb.com/player/500207/jhonatan-solano,Washington Nationals invited non-roster CJhonatan Solanoto spring training.
2/11/17,http://m.nationals.mlb.com/player/664057/andrew-stevenson,Washington Nationals invited non-roster OFAndrew Stevensonto spring training.
